song,youtube_url,youtube_play_times,spotify_id,spotify_popularity
夏の肖像,https://www.youtube.com/watch?v=cEeTW4C2GA0&pp=ygUM5aSP44Gu6IKW5YOP,95,,
都落ち,https://www.youtube.com/watch?v=pHdJmDFYqTU&pp=ygUJ6YO96JC944Gh,683,3PPiVAQnUOQ2w0EcpxJhIK,60
ブレーメン,https://www.youtube.com/watch?v=oy6MDr6I6rM&pp=ygUP44OW44Os44O844Oh44Oz,1154,1ylSVi90GEMU9VnRathz86,53
チノカテ,https://www.youtube.com/watch?v=Fq55MMfHoJg&pp=ygUM44OB44OO44Kr44OG,788,7HIfg6iQgXkVEUMHAAXW2d,61
月に吠える,https://www.youtube.com/watch?v=wCN9WliV-ew&pp=ygUP5pyI44Gr5ZCg44GI44KL,1136,3uonNvOEbpwzyP7JJub2NM,51
４５１,https://www.youtube.com/watch?v=RmYdZZLOYA8&pp=ygUQNDUxIOODqOODq-OCt-OCqw%3D%3D,171,4du1WjLNyDNu7xWTsfJKSP,48
又三郎,https://www.youtube.com/watch?v=siNFnlqtd8M&pp=ygUW44Oo44Or44K344KrIOWPiOS4iemDjg%3D%3D,1276,110pm8A7NxGHrc47Kxu62x,59
靴の花火,https://www.youtube.com/watch?v=BCt9lS_Uv_Y&pp=ygUZ44Oo44Or44K344KrIOmdtOOBruiKseeBqw%3D%3D,4213,5mOOwyOGev9frlXm5NDEQy,53
老人と海,https://www.youtube.com/watch?v=WwnZeQiI6hQ&pp=ygUZ44Oo44Or44K344KrIOiAgeS6uuOBqOa1tw%3D%3D,835,4THJtjYhMHZXDKTAXuQND4,52
左右盲,https://www.youtube.com/watch?v=1IlTeOMCNJU&pp=ygUX44Oo44Or44K344KrIOW3puWPs-ebsiA%3D,1602,5f9mOY7qsk0LMp83PGfetj,54
アルジャーノン,https://www.youtube.com/watch?v=_9_rUFrgLI8&pp=ygUi44Oo44Or44K344KrIOOCouODq-OCuOODo-ODvOODjuODsw%3D%3D,897,0DygiZzrBa3T4DaOEQSMrf,61
第一夜,https://www.youtube.com/watch?v=-R8UiY_44Y0&pp=ygUW44Oo44Or44K344KrIOesrOS4gOWknA%3D%3D,243,1NyVWtIklHhCW3AB9YcAMH,52
カトレア,,,4AK6TjpIybCTe1QphPXFn9,51
言って。,https://www.youtube.com/watch?v=F64yFFnZfkI&pp=ygUW44Oo44Or44K344KrIOiogOOBo-OBpg%3D%3D,15000,6z1TvLTR0oOsWSJfDrERmj,71
あの夏に咲け,,,4Z8WSP6i30vg05WTDyvw0X,58
雲と幽霊,https://www.youtube.com/watch?v=JJaCwW4HyVs&pp=ygUZ44Oo44Or44K344KrIOmbsuOBqOW5vemcig%3D%3D,4339,469v6OYBSwcdGRTTvj37ps,54
負け犬にアンコールはいらない,,,1fooGB6yJLKiOk8jW3thn6,66
爆弾魔,,,2L9dBaAmQ5qydXHSz8bN96,51
ヒッチコック,https://www.youtube.com/watch?v=t7MBzMP4OzY&pp=ygUf44Oo44Or44K344KrIOODkuODg-ODgeOCs-ODg-OCrw%3D%3D,7701,153lRbNmhQZVi69kbhmjY8,68
準透明少年,https://www.youtube.com/watch?v=9ypEFXTakV8&pp=ygUc44Oo44Or44K344KrIOa6lumAj-aYjuWwkeW5tA%3D%3D,2248,7nj9JW6QQrholNi2R2lffN,52
ただ君に晴れ,https://www.youtube.com/watch?v=-VKIqrvVOpo&pp=ygUf44Oo44Or44K344KrIOOBn-OBoOWQm-OBq-aZtOOCjA%3D%3D,20000,3wJHCry960drNlAUGrJLmz,77
冬眠,,,28QP3jpaBPGgKKH4x3y5Dg,50